Country,GDP per capita (USD),Life satisfaction
Afghanistan,19045599,425835
Albania,11052794,6388
Algeria,11078229,7006
Angola,76754463,4694
Argentina,24647629,34665
Armenia,9725278,47687
Aruba,35392605,4695
Australia,45389.17,3667
Austria,53179.15,6202322
Azerbaijan,13913837,5306
Bahamas,36296395,69647
Bahrain,44157.48,56892
Barbados,15444746,78042
Belarus,18274021,5051
Belgium,48154.87,4633
Belize,7259645,4170938
Benin,27078696,60859
Bermuda,85829375,53445
Bhutan,8744958,70937
Bolivia,6844984,58898
Bosnia and Herzegovina,11176881,62341
Botswana,13724671,61021
Brazil,15323331,59331
Brunei,69388.81,4039651
Bulgaria,18661.48,43391
Burkina Faso,17757792,41978
Burundi,8525026,60711
Cambodia,2862908,53054
Cameroon,32423545,4954
Canada,45822598,44413
Cape Verde,63661284,7334
Cayman Islands,66255.63,50741
Central African Republic,12427148,57177
Chad,16767694,47433
Chile,22337861,5715
China,9680098,5123
Colombia,12480547,32682
Comoros,29246855,60779
Congo,5137612,62806
Costa Rica,17360201,4459
